vent_vitesse_min_min,vent_vitesse_min_mean,vent_vitesse_max_max,vent_vitesse_max_mean,vent_rafales_max,vent_rafales_mean,vent_direction_deg_max,vent_direction_deg_mean,mer_score_min_min,mer_score_min_mean,mer_score_max_max,mer_score_max_mean,mer_hauteur_min_min,mer_hauteur_min_mean,mer_hauteur_max_max,mer_hauteur_max_mean,temps_precipitation_max,temps_precipitation_mean,temps_orage_max,temps_orage_mean,temps_visibilite_reduite_min,temps_visibilite_reduite_mean,temps_clair_min,temps_clair_mean,temps_nuageux_max,temps_nuageux_mean,temps_score_danger_max,temps_score_danger_mean,score_risque_max,score_risque_mean,annee,mois,jour,jour_semaine,jour_annee,saison_cyclonique,weekend,mois_sin,mois_cos,vent_amplitude,vent_moyen,rafales_fortes,mer_hauteur_moy,mer_amplitude,nb_conditions_defavorables,score_meteo_max,incident,date,swh_mean_global,swh_mean_max,swh_mean_std,swh_max_absolu,swh_max_mean,swh_std_mean,score_vague_max,score_vague_mean,n_points_total,ecart_hauteur_bulletin_satellite,swh_coefficient_variation,swh_extreme,score_satellite_composite,vent_mer_risque,rafale_mer_risque,score_saison_risque,vent_precipitation_risque,score_composite_meteo,ratio_mer_vent,vent_vitesse_max_max_lag1,vent_vitesse_max_max_lag2,vent_vitesse_max_max_lag3,mer_hauteur_max_max_lag1,mer_hauteur_max_max_lag2,mer_hauteur_max_max_lag3,score_risque_max_lag1,score_risque_max_lag2,score_risque_max_lag3,vent_rafales_max_lag1,vent_rafales_max_lag2,vent_rafales_max_lag3,vent_vitesse_max_max_rolling3,vent_vitesse_max_max_rolling7,mer_hauteur_max_max_rolling3,mer_hauteur_max_max_rolling7,score_risque_max_rolling3,score_risque_max_rolling7,vent_rafales_max_rolling3,vent_rafales_max_rolling7,degradation_score,degradation_vent,tendance_risque,taux_incident_global,score_risque_mois,taux_incident_saison
5.0,11.666666666666666,25.0,20.0,25.0,25.0,90.0,90.0,5.0,5.2,7.0,6.2,1.25,1.5,6.0,4.4,0,0.0,0,0.0,0,0.0,0,0.1666666666666666,1,0.6666666666666666,0,0.0,50,38.333333333333336,2019,9,25,2,268,0,0,-1.0,-1.8369701987210294e-16,20.0,15.833333333333332,0,3.625,4.75,0.0,50.0,1,2019-09-25,,,,,,,,,,,,0,,150.0,150.0,0,0.0,37.5,0.23076923076923078,20.0,20.0,20.0,4.0,4.0,4.0,53.0,53.0,40.0,30.0,30.0,25.0,21.666666666666668,20.0,4.666666666666667,4.428571428571429,52.0,45.42857142857143,28.333333333333332,26.428571428571427,-3.0,5.0,6.571428571428569,0.15151515151515152,26.47058823529412,0.1858974358974359
10.0,13.0,25.0,18.0,30.0,27.5,180.0,135.0,5.0,5.25,7.0,6.25,1.25,1.5625,6.0,4.5,0,0.0,0,0.0,0,0.0,0,0.2,1,0.2,0,0.0,60,40.0,2019,9,27,4,270,0,0,-1.0,-1.8369701987210294e-16,15.0,15.5,1,3.625,4.75,0.0,60.0,0,2019-09-27,,,,,,,,,,,,0,,150.0,180.0,0,0.0,37.5,0.23076923076923078,25.0,20.0,20.0,6.0,4.0,4.0,50.0,53.0,53.0,25.0,30.0,30.0,23.333333333333332,21.428571428571427,5.333333333333333,4.714285714285714,54.333333333333336,48.857142857142854,28.333333333333332,27.142857142857142,10.0,0.0,5.476190476190482,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,6.666666666666667,15.0,11.666666666666666,25.0,22.5,180.0,150.0,3.0,4.0,6.0,5.333333333333333,0.1,0.6166666666666667,4.0,2.1666666666666665,0,0.0,0,0.0,0,0.0,0,0.3333333333333333,1,0.3333333333333333,0,0.0,30,28.33333333333333,2019,9,28,5,271,0,1,-1.0,-1.8369701987210294e-16,10.0,9.166666666666666,0,2.05,3.9,0.0,30.0,1,2019-09-28,,,,,,,,,,,,0,,60.0,100.0,0,0.0,24.5,0.25,25.0,25.0,20.0,6.0,6.0,4.0,60.0,50.0,53.0,30.0,25.0,30.0,21.666666666666668,21.428571428571427,5.333333333333333,4.571428571428571,46.666666666666664,47.42857142857143,26.666666666666668,27.142857142857142,-30.0,-10.0,-0.7619047619047663,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,5.0,10.0,8.75,15.0,15.0,180.0,123.75,3.0,4.25,6.0,5.25,0.1,0.775,4.0,2.0,0,0.0,0,0.0,0,0.0,0,0.5,1,0.25,0,0.0,30,25.0,2019,9,29,6,272,0,1,-1.0,-1.8369701987210294e-16,5.0,6.875,0,2.05,3.9,0.0,30.0,0,2019-09-29,,,,,,,,,,,,0,,40.0,60.0,0,0.0,23.0,0.36363636363636365,15.0,25.0,25.0,4.0,6.0,6.0,30.0,60.0,50.0,25.0,30.0,25.0,16.666666666666668,19.285714285714285,4.666666666666667,4.571428571428571,40.0,45.142857142857146,23.333333333333332,25.714285714285715,0.0,-5.0,-5.142857142857146,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,6.25,15.0,11.25,20.0,17.5,180.0,123.75,3.0,4.25,5.0,5.0,0.1,0.775,2.0,1.5,0,0.0,0,0.0,0,0.0,0,0.25,1,0.25,0,0.0,30,26.25,2019,9,30,0,273,0,0,-1.0,-1.8369701987210294e-16,10.0,8.75,0,1.05,1.9,0.0,30.0,0,2019-09-30,,,,,,,,,,,,0,,30.0,40.0,0,0.0,14.5,0.125,10.0,15.0,25.0,4.0,4.0,6.0,30.0,30.0,60.0,15.0,25.0,30.0,13.333333333333334,18.571428571428573,3.3333333333333335,4.285714285714286,30.0,43.714285714285715,20.0,25.0,0.0,5.0,-13.714285714285715,0.15151515151515152,26.47058823529412,0.1858974358974359
5.0,7.5,20.0,13.75,25.0,20.0,90.0,90.0,3.0,4.5,6.0,5.25,0.1,0.9625,4.0,2.875,0,0.0,0,0.0,0,0.0,0,0.2,1,0.4,0,0.0,45,25.0,2019,10,2,2,275,0,0,-0.8660254037844386,0.5000000000000001,15.0,10.625,0,2.05,3.9,0.0,45.0,0,2019-10-02,,,,,,,,,,,,0,,80.0,100.0,0,0.0,26.0,0.19047619047619047,15.0,10.0,15.0,2.0,4.0,4.0,30.0,30.0,30.0,20.0,15.0,25.0,15.0,18.571428571428573,3.3333333333333335,4.285714285714286,35.0,42.57142857142857,20.0,24.285714285714285,15.0,5.0,-7.571428571428569,0.15151515151515152,19.444444444444446,0.1858974358974359
5.0,8.75,15.0,12.5,25.0,25.0,180.0,135.0,3.0,4.25,6.0,5.5,0.1,0.775,4.0,2.0,0,0.0,0,0.0,0,0.0,0,0.25,1,0.5,0,0.0,35,31.25,2019,10,4,4,277,0,0,-0.8660254037844386,0.5000000000000001,10.0,10.625,0,2.05,3.9,0.0,35.0,1,2019-10-04,,,,,,,,,,,,0,,60.0,100.0,0,0.0,24.5,0.25,20.0,15.0,10.0,4.0,2.0,4.0,45.0,30.0,30.0,25.0,20.0,15.0,16.666666666666668,17.857142857142858,3.3333333333333335,4.285714285714286,36.666666666666664,40.0,23.333333333333332,23.571428571428573,-10.0,-5.0,-3.3333333333333357,0.15151515151515152,19.444444444444446,0.1858974358974359
5.0,9.0,15.0,13.0,20.0,20.0,180.0,135.0,3.0,4.2,6.0,5.0,0.1,0.72,4.0,2.3600000000000003,0,0.0,0,0.0,0,0.0,0,0.4,1,0.4,0,0.0,35,28.0,2019,10,5,5,278,0,1,-0.8660254037844386,0.5000000000000001,10.0,11.0,0,2.05,3.9,0.0,35.0,0,2019-10-05,,,,,,,,,,,,0,,60.0,80.0,0,0.0,24.5,0.25,15.0,20.0,15.0,4.0,4.0,2.0,35.0,45.0,30.0,25.0,25.0,20.0,16.666666666666668,16.428571428571427,4.0,4.0,38.333333333333336,37.857142857142854,23.333333333333332,22.857142857142858,0.0,0.0,0.4761904761904816,0.15151515151515152,19.444444444444446,0.1858974358974359
5.0,8.75,15.0,12.5,20.0,20.0,135.0,112.5,3.0,4.5,6.0,5.5,0.1,0.9625,4.0,2.125,0,0.0,0,0.0,0,0.0,0,0.25,1,0.25,0,0.0,35,30.0,2019,10,7,0,280,0,0,-0.8660254037844386,0.5000000000000001,10.0,10.625,0,2.05,3.9,0.0,35.0,0,2019-10-07,,,,,,,,,,,,0,,60.0,80.0,0,0.0,24.5,0.25,15.0,15.0,20.0,4.0,4.0,4.0,35.0,35.0,45.0,20.0,25.0,25.0,15.0,15.0,4.0,3.7142857142857144,35.0,34.285714285714285,21.666666666666668,21.428571428571427,0.0,0.0,0.7142857142857153,0.15151515151515152,19.444444444444446,0.1858974358974359
5.0,8.75,15.0,12.5,25.0,25.0,135.0,101.25,3.0,4.5,6.0,5.5,0.1,0.9625,2.5,2.0,0,0.0,0,0.0,0,0.0,0,0.75,1,0.25,0,0.0,40,31.25,2019,10,8,1,281,0,0,-0.8660254037844386,0.5000000000000001,10.0,10.625,0,1.3,2.4,0.0,40.0,0,2019-10-08,,,,,,,,,,,,0,,37.5,62.5,0,0.0,17.0,0.15625,15.0,15.0,15.0,4.0,4.0,4.0,35.0,35.0,35.0,20.0,20.0,25.0,15.0,15.0,3.5,3.5,36.666666666666664,35.714285714285715,21.666666666666668,21.428571428571427,5.0,0.0,0.952380952380949,0.15151515151515152,19.444444444444446,0.1858974358974359
10.0,11.0,15.0,15.0,25.0,23.75,180.0,144.0,3.0,4.2,6.0,5.6,0.1,0.72,4.0,2.3600000000000003,1,0.2,0,0.0,0,0.0,0,0.6,1,0.4,1,0.2,40,36.6,2019,10,10,3,283,0,0,-0.8660254037844386,0.5000000000000001,5.0,13.0,0,2.05,3.9,1.2,40.0,1,2019-10-10,,,,,,,,,,,,0,,60.0,100.0,0,15.0,24.7,0.25,15.0,15.0,15.0,2.5,4.0,4.0,40.0,35.0,35.0,25.0,20.0,20.0,15.0,15.714285714285714,3.5,3.5,38.333333333333336,37.142857142857146,23.333333333333332,22.857142857142858,0.0,0.0,1.1904761904761898,0.15151515151515152,19.444444444444446,0.1858974358974359
