date,date_str,annee,mois,zone,cote,swh_mean,swh_min,swh_max_value,swh_std,swh_max_absolu,n_points,etat_mer_satellite,score_risque_vague
2017-01-02,2017-01,2017,1,CAP D'AMBRE A TOAMASINA,EST,1.869226869072538e+36,1.1509928801926985,9.969209968386869e+36,3.8911060186368346e+36,9.969209968386869e+36,16,Tres forte,10.0
2017-01-02,2017-01,2017,1,CAP D'AMBRE A MAHANORO,EST,2.9538399906331465e+36,0.6922642820804468,9.969209968386869e+36,4.55217315019718e+36,9.969209968386869e+36,27,Tres forte,10.0
2017-01-02,2017-01,2017,1,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,1.4066360775704827,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-01-02,2017-01,2017,1,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.735374734983763e+36,1.3233584028023726,9.969209968386869e+36,4.978370328865151e+36,9.969209968386869e+36,40,Tres forte,10.0
2017-01-02,2017-01,2017,1,CAP D'AMBRE A BESALAMPY,NORD-OUEST,3.3230699894622897e+36,0.6313590842316242,9.969209968386869e+36,4.699530647812588e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-01-02,2017-01,2017,1,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.6887787372722126,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
2017-01-02,2017-01,2017,1,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,1.171986246483868,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2017-01-02,2017-01,2017,1,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.6922642820804468,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-01-02,2017-01,2017,1,ANTALAHA A TOAMASINA,EST,1.2461512460483586e+36,1.153627860810198,9.969209968386869e+36,3.297006293017218e+36,9.969209968386869e+36,8,Tres forte,10.0
2017-01-02,2017-01,2017,1,TOAMASINA A MANANJARY,EST,4.153837486827862e+36,1.3233584028023726,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
