Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
28/08/2019,28/08/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/08/2019,29/08/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/08/2019,30/08/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/08/2019,31/08/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/09/2019,,Incident maritime,Naufrage ,Nosikely Morondava,,,,,44.280774,-20.305419,,,, Naufrage d’un boutre à cause de mauvais temps- tous 11 passagers rescapés,,2019-09-01
02/09/2019,02/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/09/2019,,Incident maritime,Panne mécanique en mer,Nosy Makamba,,,,,46.044608,-15.85806,,,,"Au niveau de nosy Makamba–Mahajanga, une pirogue traditionnelle
à moteur dénommée Lylia, avec 8 personnes à bord, est tombée en panne de moteur. Parti de
Soalala vers 5h00, Il a été remorqué par une coque d’un particulier de Mahajanga. Aucune perte
de vie humaine n’a été déplorée.",,2019-09-03
04/09/2019,04/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/09/2019,05/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/09/2019,06/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/09/2019,07/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/09/2019,08/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/09/2019,09/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/09/2019,10/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/09/2019,11/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/09/2019,12/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/09/2019,13/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/09/2019,14/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/09/2019,15/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/09/2019,,Incident maritime,Présence des nappes d’hydrocarbures dans le canal de Mozambique,MADAGASCAR,,,,,,,,,,"D’après les informations fournies par l’image satellitaire de l’EMSA (European Maritime Safety Agency), sept (07) nappes d’hydrocarbures légers reparties dans le canal de Mozambique ont été repérées le 15 septembres 2019 en avançant les coordonnés de référence. Lors de notre recoupement auprès des autorités locales de la côte ouest de Madagascar, jusqu’à ce jour, les acteurs maritimes de cette région n’ont pas constaté ni la présence de ces nappes ni l’impact de cette pollution marine sur la vie des pêcheurs.",,2019-09-16
17/09/2019,17/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/09/2019,,Incident maritime,Présence des pollutions dans le canal de Pangalanes,TOAMASINA,,,,,49.416605555555556,-18.15619722222222,,,,"Les riverains du canal de Pangalanes à Toamasina, surtout entre le port fluvial de Manangareza et l’endroit dénommé ‘’Pont fotsy’’ constatent un niveau maximum de pollution du Canal. L’origine des déversements d’eaux usées provient des usines, établissements et sociétés pétrolières locales sur la rive du canal des Pangalanes Nord. Le traitement des déchets d’usines devrait être revu afin d’éviter la pollution aquatique. Cette dernière représente une menace pour l’écosystème marin du fait que le Canal est relié à la mer mais aussi un obstacle majeur pour le tourisme. Les CTD sont déjà avisées de cette situation.",,2019-09-18
19/09/2019,19/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/09/2019,20/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/09/2019,21/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/09/2019,22/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/09/2019,,Incident maritime,Chavirage du boutre SAMBY JEUNE,ANALALAVA,,,,,47.74028888888889,-14.571869444444443,,,,"Le boutre SAMBY JEUNE transportant 21 joueurs de football en provenance de Komanjara, Commune Rurale d’Antonibe, Districk d’Analalava et en direction de Marotaolana, s’est chaviré dans la Baie de Narinda le 22 septembre 2019 vers 13h entre Ambtaobe Sohihy, Fokontany Nosy Lava et Fokontany Nosy Fano Commune Urbaine d’Analalava. Selon la Brigade d’Analalava, à part ces passagers, ce boutre embarquait 03 tonnes de chargement à bord. Durant le chavirement, huit (08) d’entre eux sont sains et saufs, deux (02) décédés et onze (11) portés disparus dont sept (07) retrouvés le 27 septembre et quatre (04) le 29 septembre près du rivage de l’ile Ambatobe Sohihy. Avec la communauté locale et les riverains de cette Baie, la Brigade de la Gendarmerie d’Analalava continue la recherche des disparues.",,2019-09-23
23/09/2019,,Incident maritime,Noyade de deux garçons sur la pla,MORONDAVA,,,,,44.29378888888888,-20.348105555555556,,,,"Deux jeunes garçons se sont noyés au large de la plage de Nosy Kely Morondava. Il s’agit des vacanciers venant d’Antsirabe. Durant cette noyade, le jeune RAKOTOARIZAFY Dera, environ 18 ans a perdu sa vie, tandis que son collègue est ramené à l’Hôpital de la ville. Après cette incidence, les autorités locales ont tenu une conférence de presse pendant laquelle elles ont invité les vacanciers d’être vigilants surtout sur l’état de la mer. ",,2019-09-23
24/09/2019,24/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/09/2019,,Incident maritime,Naufrage d'un boutre,MAHAJANGA,,,,,46.313736111111105,-15.711575,,,,"Un boutre reliant le port d’Aranta Mahajanga à Katsepy a fait naufrage le 24 septembre 2019 vers 08h à 800m près du port de « Quai Orange ». L’embarcation compte vingt-cinq (25) passagers à bord avec 60 tôles et 30 sacs de ciments. Vingt-trois (23) ont pu être sauvés par la Brigade Port et l’équipe de l’APMF, ramenés puis soignés au CHU Mahajanga. A l’arrivée de l’hôpital, une (01) mère de famille a succombé. Le 26 septembre 2019 vers 7h30mn, le corps de la fille de la défunte a été trouvé au bord de l’hôtel Baobab Tree après sa disparition plus de 48h. D’après l’un des passagers, ce naufrage est dû à la surcharge du boutre et du vent fort. De plus, la plupart des rescapés ne portent pas de gilets de sauvetage. Des dizaines d’accidents sont recensés chaque année dans la zone.",,2019-09-25
26/09/2019,26/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/09/2019,27/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/09/2019,,Incident maritime,Decouvert d'un corps d'un homme sur la plage,TOAMASINA,,,,,49.416605555555556,-18.15619722222222,,,,"Un corps d’un homme blanc sans vie, âgé de 35 ans, non identifié, a été trouvé au bord de la baie d’Ivondro, vers 10h. Durant le constat effectué par le BMH, Police Scientifique et Technique, la Gendarmerie Nationale et le Service Régionale de la Police Judiciaire, le corps de la victime est totalement nu et un tatouage de forme sirène est marqué sur son bras droit. D’après le BMH, il s’agit d’un mort suspecte. Puisque aucune pièce d’identité, permettant de lui reconnaitre, n’a été sur la victime, le corps a été déposé par les sapeurs-pompiers à la morgue auprès de CHU Toamasina. ",,2019-09-28
29/09/2019,29/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/09/2019,30/09/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/10/2019,01/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/10/2019,02/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/10/2019,03/10/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/10/2019,,Incident maritime,POLMAR,Nord Ouest de Madagascar,,,,,,,,,,"Aux côtes Nord-Ouest de Madagascar, le navire de type vraquier M/V PAPORA
WISDOM de pavillon Panama aurait pu être la cause de déversements dans la ZEE de Madagascar,
selon OLI France.",,2019-10-04
04/10/2019,,Incident maritime,Découvert d'un corps d'un enfant sur la plage,TOAMASINA,,,,,49.416605555555556,-18.15619722222222,,,,"Dans le Fokontany d’Ampanalagna, parcelle 17/11, un corps d’un enfant, environ 3 ans, sans vie a été trouvé au bord de la mer, près de l’Hôtel Victoria Beach, le 04 octobre 2019 vers 08h du matin. Avec la Police Scientifique et Technique et le Service Régional de la Police Judiciaire, le BMH constate que l’enfant est mort par noyade. Après l’enquête de voisinage, personne n’a reconnu ni l’identité de cet enfant ni sa famille. Cette dernière circonstance a permis au Sapeurs-pompiers de déposer le corps à la morgue, CHU Toamasina. ",,2019-10-04
04/10/2019,,Incident maritime,Naufrage,Vohemar,,,,,50.003364,-13.370283,,,,"Au large de Vohemar, un navire de type cargo dénommé « ANILLA
PRINCESSE » en partance d’Antsiranana pour Vohemar a sombré à la suite d’une panne au niveau
de la cale machine due par l’effet d’une voie d’eau. Les 10 passagers et 14 membres d’équipage
ont été sains et sauf après déploiement d’un radeau de sauvetage. Rappelons que le jour de cet
accident, le vent d’Alizé se dirigeant vers la direction de Nord-Nord-Est, avec une vitesse allant
jusqu’à 28 km/h aurait pu être en faveur des rescapés.",,2019-10-04
