Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
01/01/2017,01/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/01/2017,02/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/01/2017,03/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/01/2017,04/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/01/2017,05/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/01/2017,06/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/01/2017,07/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/01/2017,08/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/01/2017,09/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/01/2017,10/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/01/2017,11/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/01/2017,12/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/01/2017,13/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/01/2017,14/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/01/2017,15/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/01/2017,16/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/01/2017,17/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/01/2017,18/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/01/2017,19/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/01/2017,20/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/01/2017,21/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/01/2017,22/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/01/2017,23/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/01/2017,24/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/01/2017,25/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/01/2017,26/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/01/2017,27/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/01/2017,28/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/01/2017,29/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/01/2017,30/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/01/2017,31/01/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/02/2017,01/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/02/2017,02/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/02/2017,03/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/02/2017,04/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/02/2017,,Incidents Maritimes ,,MADAGASCAR,,,,,46.32589,-15.766938,,,,"A Mahajanga, le cadavre d’un homme retrouvé au port. Le corps sans vie d’un homme âgé d’une quarantaine d’années et non identifié a été rejeté par la mer. La victime avait encore sur lui tous ses vêtements. Son identification n’a pas été possible.",,2017-02-05
06/02/2017,06/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/02/2017,07/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/02/2017,08/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/02/2017,09/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/02/2017,10/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/02/2017,11/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/02/2017,12/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/02/2017,13/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/02/2017,14/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/02/2017,15/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/02/2017,16/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/02/2017,17/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/02/2017,18/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/02/2017,19/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/02/2017,20/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/02/2017,21/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/02/2017,22/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/02/2017,23/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/02/2017,24/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/02/2017,,Incidents maritimes,,Katsepy Mahajanga/ Madagascar,,,,,46.289816,-15.737907,,,naufrage, Le bac Makuba a coulé 25 Fév,,2017-02-25
26/02/2017,26/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/02/2017,27/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/02/2017,28/02/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/03/2017,01/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/03/2017,02/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/03/2017,03/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/03/2017,04/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/03/2017,05/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/03/2017,06/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/03/2017,,Incidents Maritimes,, OCEAN INDIEN,,,,,54.740555,-21.401068,,,assistance technique,"Le vraquier IRIS II (IMO 9286906, dwt 75798, construit 2004) a subi une panne moteur en route de l'Afrique du Sud vers Qasim au Pakistan à environ 140 nm à l'ouest de la Réunion dans l’Océan Indien.",,2017-03-07
08/03/2017,08/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/03/2017,09/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/03/2017,10/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/03/2017,11/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/03/2017,12/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/03/2017,13/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/03/2017,14/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/03/2017,15/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/03/2017,16/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/03/2017,,Incidents Maritimes,,madagascar,,,,,43.872715,-18.042964,,,naufrage,"Un boutre qui a quitté Morondava  pour aller à Maintirano a sombré en mer, près d’un îlot de Maroantaly alors qu’il transportait une cinquantaine de passagers et 48 tonnes de marchandises. ",,2017-03-17
18/03/2017,18/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/03/2017,19/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/03/2017,20/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/03/2017,21/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/03/2017,22/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/03/2017,23/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/03/2017,24/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/03/2017,25/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/03/2017,26/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/03/2017,27/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/03/2017,28/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/03/2017,29/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/03/2017,30/03/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/03/2017,,Incidents Maritimes,,OCEAN INDIEN,,,,,68.761516,-20.827302,,,décès à bord,Un marin philippin âgé de 48 ans a été découvert inconscient dans son lit à bord du M/V Marine Star.,,2017-03-31
01/04/2017,01/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/04/2017,02/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/04/2017,03/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/04/2017,04/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/04/2017,05/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/04/2017,06/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/04/2017,07/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/04/2017,08/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/04/2017,09/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/04/2017,10/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/04/2017,11/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/04/2017,12/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/04/2017,13/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/04/2017,14/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/04/2017,15/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/04/2017,16/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/04/2017,,Incidents Maritimes,,MADAGASCAR,,,,,49.420532,-18.150623,,,noyade,Un garçon de 14 ans vient de se noyer en mer quand sa mère l'a envoyé nager devant un grand hôtel sur la plage vers 11 heures du matin.,,2017-04-17
18/04/2017,18/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/04/2017,19/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/04/2017,,Incidents Maritimes,,MADAGASCAR ,,,,,50.063335,-13.360009,,,,MADAGASCAR,,2017-04-20
21/04/2017,21/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/04/2017,22/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/04/2017,23/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/04/2017,24/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/04/2017,25/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/04/2017,26/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/04/2017,27/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/04/2017,28/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/04/2017,29/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/04/2017,30/04/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/05/2017,01/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/05/2017,02/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/05/2017,03/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/05/2017,04/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/05/2017,05/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/05/2017,06/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/05/2017,07/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/05/2017,08/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/05/2017,,Incidents Maritimes ,,MADAGASCAR,,,,,49.86958,-15.966218,,,,"Le bateau à moteur FIDELYS, avec à son bord des marchandises et 24 passagers, a coulé à l’entrée de Maroantsetra ; 20 personnes ont été secourues et emmenées à l’hôpital pour contrôle, tandis que 4 autres ont disparu,",,2017-05-09
10/05/2017,10/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/05/2017,11/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/05/2017,12/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/05/2017,13/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/05/2017,14/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/05/2017,15/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/05/2017,16/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/05/2017,17/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/05/2017,18/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/05/2017,19/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/05/2017,20/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/05/2017,21/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/05/2017,22/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/05/2017,23/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/05/2017,24/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/05/2017,25/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/05/2017,26/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/05/2017,27/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/05/2017,28/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/05/2017,29/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/05/2017,30/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/05/2017,31/05/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/06/2017,01/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/06/2017,02/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/06/2017,03/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/06/2017,04/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/06/2017,05/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/06/2017,06/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/06/2017,07/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/06/2017,08/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/06/2017,09/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/06/2017,10/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/06/2017,11/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/06/2017,12/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/06/2017,13/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/06/2017,14/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/06/2017,15/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/06/2017,16/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/06/2017,17/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/06/2017,18/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/06/2017,19/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/06/2017,20/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/06/2017,21/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/06/2017,22/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/06/2017,23/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/06/2017,24/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/06/2017,25/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/06/2017,26/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/06/2017,27/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/06/2017,28/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/06/2017,29/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/06/2017,30/06/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/07/2017,01/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/07/2017,02/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/07/2017,03/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/07/2017,04/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/07/2017,05/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/07/2017,06/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/07/2017,07/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/07/2017,08/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/07/2017,,Incidents Maritimes ,,OCEAN INDIEN,,,,,59.665862,13.417318,,,,"Un navire grec ""AEGEAN ANGEL"" a  demandé de l'aide pour un marin grec blessé, qui a été transféré à bord d’une frégate turque par un hélicoptère Le marin grec a ensuite été transféré au port de Salalah à Oman pour recevoir une intervention médicale supplémentaire,",,2017-07-09
10/07/2017,10/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/07/2017,,Incidents Maritimes ,,MADAGASCAR,,,,,49.502451,-17.514099,,,,"Le MS ATLANTIS II, avec 9 équipages à bord et 89T de marchandises, s’est échoué sur la côte de Mahambo, Fénérive-Est. Lors de son passage à Foulpointe, il a embarqué de l’eau à cause de la mauvaise météo l’obligeant ainsi à changer de route vers Mahambo. Toutes les marchandises ont été perdues en mer. Aucun mort ni blessé n’a été à déplorer.",,2017-07-11
12/07/2017,12/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/07/2017,13/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/07/2017,14/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/07/2017,15/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/07/2017,16/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/07/2017,17/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/07/2017,18/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/07/2017,19/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/07/2017,20/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/07/2017,21/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/07/2017,22/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/07/2017,23/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/07/2017,24/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/07/2017,,Incidents Maritimes ,,OCEAN INDIEN,,,,,45.816666,-29.383333,,,assistance médicale,"A la position 29°23.00 S / 045°49.00 E, un membre d’équipage du navire de pêche « HSIN MING SHEN N°28 » a alerté le CROSS RU pour indiquer que le capitaine du navire (59 ans) était sérieusement malade à bord:  ",,2017-07-25
26/07/2017,26/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/07/2017,27/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/07/2017,28/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/07/2017,,Incidents Maritimes ,,MADAGSCAR,,,,,45.695134,-14.77237,,,incendie,"Le MV Babou Salama, un bateau battant pavillon comorien, qui effectue des liaisons commerciales entre le Nord-Est de la Madgascar et l’archipel des Comores, s’est embrasé en pleine traversée.",,2017-07-29
30/07/2017,30/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/07/2017,31/07/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/08/2017,01/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/08/2017,02/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/08/2017,03/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/08/2017,,Incidents Maritimes,,MADAGASCAR,,,,,50.028404,-13.357719,,,naufrage,"Un bateau dénommé « Zandry kely », partant d’Ambolibozy vers Vohémar s’est cassé à proximité de Vohémar avec 40 passagers à bord, suite à une surcharge.",,2017-08-04
05/08/2017,05/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/08/2017,,Incidents Maritimes ,,MADAGASCAR,,,,,46.31118,-15.655496,,,pollution d'hydrocarbure,Le satellite de l’EMSA (CLEANSEANET) a détecté 3 petites pollutions hydrocarbures en ZEE malgache ,,2017-08-06
06/08/2017,,Incidents Maritimes ,,MADAGASCAR,,,,,48.185439,-13.43336,,,pollution d'hydrocarbure,Le satellite de l’EMSA (CLEANSEANET) a détecté 3 petites pollutions hydrocarbures en ZEE malgache ,,2017-08-06
07/08/2017,,Incidents Maritimes,,OCEAN INDIEN,,,,,32.213449,-28.847401,,,naufrage,"Le palangrier de thon HSIANG FUH 6 (Pavillon Taiwan)  a coulé à environ 350 nm à l'Est de Richards Bay, en Afrique du Sud.",,2017-08-07
08/08/2017,08/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/08/2017,09/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/08/2017,,Incidents Maritimes ,,MADAGASCAR/MAURICE,,,,,49.017762,-19.313423,,,,Une embarcation mauricienne a dérivé pendant des jours jusqu’aux côtes de Madagascar et a atteint Vatomandry (côte est malgache). Ils ont été secourus par des villageois et dirigés vers la gendarmerie. ,,2017-08-10
11/08/2017,,Incidents Maritimes ,,MADAGASCAR,,,,,49.321113,-12.241541,,,,L’opération de remorquage au profit du MT WIGMORE a finalement réussi après 3 semaines de tentatives conduites par les remorqueurs LANPAN 23 et VB MAHAVEL. Le MT WIGMORE est maintenant en sécurité dans la baie d’Antsiranana. Il poursuit sa réparation du moteur principal et de son gouvernail.,,2017-08-11
12/08/2017,12/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/08/2017,13/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/08/2017,14/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/08/2017,15/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/08/2017,16/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/08/2017,17/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/08/2017,18/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/08/2017,19/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/08/2017,20/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/08/2017,21/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/08/2017,22/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/08/2017,23/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/08/2017,24/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/08/2017,25/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
26/08/2017,26/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/08/2017,27/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/08/2017,28/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/08/2017,29/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/08/2017,30/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
31/08/2017,31/08/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
01/09/2017,01/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/09/2017,02/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/09/2017,03/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/09/2017,04/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/09/2017,05/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/09/2017,06/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/09/2017,07/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/09/2017,08/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/09/2017,09/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
10/09/2017,10/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/09/2017,11/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/09/2017,12/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/09/2017,,Incidents Maritimes ,,OCEAN INDIEN,,,,,37.486101,-28.78011,,,,"Le vraquier MV TINA (IMO 9215749)  a rencontré des problèmes de moteur le 3 septembre en Atlantique, et a réussi à poursuivre sa navigation jusqu’à l'Océan Indien en se déplaçant à faible vitesse, 10 jours après, il a été pris en remorque par« PACIFIC DILIGENCE » (OMI 9631395), jusqu’au port de Durban, ",,2017-09-13
14/09/2017,14/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/09/2017,15/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/09/2017,16/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/09/2017,17/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/09/2017,18/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/09/2017,19/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/09/2017,20/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/09/2017,,Incidents Maritimes ,,MAYOTTE/MADAGASCAR,,,,,46.230973,-13.600933,,,,"Durant la journée du 21 septembre, 6 nappes hydrocarbures distinctes ont été détectées par le satellite européen CLEANSEANET entre Mayotte et le Nord-Ouest de Madagascar en 6 points différents, Ces pollutions pourraient être imputées à 3 navires se situant à proximité (Chimiquier, 'Melati 6', vraquier ‘Elgiznur Cebi’ et Porte-conteneurs 'Frisia Hannover')",,2017-09-21
22/09/2017,22/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/09/2017,23/09/2017,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
